kozterulet;hosszusag;szelesseg;funkcio
Liget sor;3,1;3,7;fürdőszoba
Bem utca;2,5;3,5;terasz
Márták dűlő;2,3;1,6;erkély
Trafó köz;4,4;4,3;konyha
Baross Gábor utca;4,2;2,9;háló
Tárnokfű utca;2,4;4,4;háló
Ostoros utca;6,9;5,8;nappali
8. utca;3,9;2,8;fürdőszoba
Rézvirág utca;1,8;1,9;WC
Nyárfasor utca;3,6;3,1;konyha
Halastó utca;1,3;2,3;erkély
Unokakert utca;4,8;6,3;nappali
Zsurló utca;3,5;3,6;dolgozószoba
Kisfaludy Sándor út;2,3;2,2;háló
Mályva utca;2,1;3;erkély
Janicsár utca;2,8;2,1;fürdőszoba
Díszlet utca;3,2;3,3;háló
Bükkmogyoró utca;2,9;2,2;fürdőszoba
Vízimolnár utca;2,7;4,2;háló
Gerle utca;1,2;1,4;WC
Sajó utca;2,9;3,5;kamra
Ifjúság útja;3,8;3,9;fürdőszoba
Cser utca;3,8;4,9;nappali
Fürtös köz;2,5;3,5;dolgozószoba
Nadályfű utca;2,1;3,2;dolgozószoba
Cséplő utca;0,8;0,9;kamra
Debreceni út;2,6;3,9;dolgozószoba
Csákósor utca;3,6;3,5;konyha
Orsolya utca;2,9;2,3;erkély
Makó utca;3,3;3,1;fürdőszoba
Lóverseny utca;1,8;1,5;WC
Pacsirta utca;3,8;2,3;háló
Palotás utca;4,7;4,5;háló
Gomba utca;2,7;4,7;háló
Ív utca;3,2;2,4;fürdőszoba
Liliomkert utca;1,7;1,2;WC
Pasztinák köz;2,4;4,3;háló
Gesztenyési út;1,6;1,9;WC
Bodrog utca;5,3;4;nappali
Károli Gáspár utca;2,7;2,4;háló
Trafó köz;2,4;2,6;gardrób
Rózsamajor út;4,3;3,6;nappali
Ostoros utca;2,5;4,6;háló
Köteles utca;3;3;kamra
Kádár utca;4,4;4,9;nappali
Zsombolyai utca;3,7;3,7;háló
Remenyik Zsigmond utca;2,7;2,1;háló
Rézöntő utca;3,7;2,2;háló
Dorogi utca;3,9;3,2;fürdőszoba
Pesti utca;2,6;2,4;gardrób
Föld utca;3,4;3,7;háló
Ág utca;3,5;2,3;fürdőszoba
Rózsavölgy utca;2,4;2,4;fürdőszoba
Sástavi út;2,9;2,6;háló
Bajonett utca;1,1;2,1;erkély
Tigér utca;3,3;3,2;háló
Szotyori utca;3,1;2,3;háló
Réce utca;2,3;2,6;fürdőszoba
Almagyar köz;1,2;1,6;WC
Gyimes utca;2,2;2,9;fürdőszoba
Csipkebogyó utca;2,5;2,7;erkély
Sándorfalvi út;1,8;1,1;WC
Maklári út;1;1,2;WC
Árnyas utca;2,9;4,6;háló
Mátyás király utca;2,6;2,3;fürdőszoba
Kard utca;4,9;4,9;nappali
Harangos utca;1,1;2;kamra
Pisztácia utca;4,1;5;háló
Harcos sor;4,9;4,1;háló
Balzsamfű utca;2,9;4,8;konyha
Dalos utca;3,5;3,3;háló
Tisza utca;1,1;1,3;WC
Pancsovai utca;2,3;4,4;háló
Leányka utca;3,6;2,2;konyha
Rézöntő utca;3;3,8;háló
Knézich Károly utca;3,1;2,7;háló
Kékszőlő utca;1,6;2,8;erkély
Gyergyó utca;1,2;1,4;WC
Nárcisz utca;2,3;2,2;konyha
Ady park;2,4;2,4;háló
Pilinszky János utca;1,1;1,6;kamra
Só utca;3,7;2,1;háló
Vöcsök utca;3,3;3,1;fürdőszoba
Szőlő utca;4,4;2,3;konyha
Hámfa utca;1,3;1,2;WC
Kiskút utca;3;4,2;háló
Fonógyári út;1,3;1,3;WC
Gyertyaöntő utca;2,9;3,8;konyha
Cserfa utca;2,7;3;dolgozószoba
Fekete István utca;1,4;1,1;WC
Cser utca;2,9;2,1;fürdőszoba
Dió utca;2,9;3,1;háló
Iringó utca;4,4;4;nappali
Vadkerti tér;4;4,7;fürdőszoba
Bárány utca;2,2;4,1;konyha
Berlini körút;3,9;2,7;háló
Fűzfa utca;3,4;2,4;fürdőszoba
Trafó köz;4,8;2,8;háló
Berlini körút;1,3;1,9;WC
Nagyecsed utca;2;3,4;kamra
Krónikás utca;3,7;4,3;háló
Lehel utca;4,6;3,7;háló
Cser utca;4,1;4,4;konyha
Tyukod utca;1,9;2,1;gardrób
Szikes utca;3,8;2,8;dolgozószoba
Ingovány utca;1,2;2;WC
Bárány utca;1,2;1,7;kamra
Szentiváni dűlő;4;3,5;terasz
Porzó utca;2,8;2,6;háló
Bölcsőde utca;3,3;4,9;konyha
Mókus utca;1,5;1,8;gardrób
Arany János utca;1,1;1,5;WC
Kövirózsa utca;3,2;4,7;háló
Nagykőporos út;3,8;2,2;gardrób
Nyárád utca;3,7;2,2;dolgozószoba
Makó utca;3,2;3,5;gardrób
Bajonett utca;3,6;3,1;háló
Borbála utca;4,1;3,1;fürdőszoba
Kisbotos utca;1,3;1,4;WC
Tárkony utca;1,3;1,3;kamra
Erdőstarcsa utca;3,1;2,4;háló
Kinizsi utca;2,4;1,7;gardrób
Nagyhát utca;4,5;4,2;fürdőszoba
Telep utca;3,6;3,1;háló
Legátus utca;6;4,9;nappali
Házgyári út;2,4;3,1;konyha
Huszár utca;1;1,3;WC
Tábornok utca;1,2;1,6;erkély
Apály utca;3,5;2,4;háló
Gesztenyési út;2,7;3,3;gardrób
Sarlófű utca;1,8;1,9;gardrób
Vaszy Viktor tér;4;3,2;háló
Piroska tér;3,6;2,5;háló
Nagybecskereki utca;4,7;4,6;háló
Nagybotos utca;5;5,6;nappali
Dalos utca;1,4;1,5;WC
Berzsenyi Dániel utca;2,5;2,8;fürdőszoba
Úszó utca;2,6;2,6;háló
Balzsamfű utca;4,4;4;háló
Zsoldos köz;3;2,4;háló
Torma utca;4,9;4,1;konyha
Lilla tér;3,6;3,6;nappali
Keszi utca;3,6;3;dolgozószoba
Balabás utca;5,1;4,9;nappali
Jázmin utca;5,8;2,8;konyha
Kisfaludy Sándor út;3,5;3,5;háló
Szentiváni dűlő;1,5;1,9;kamra
Kormorán utca;4,9;2,1;konyha
Görgény utca;5,6;4,2;nappali
Törő utca;2,2;2,4;háló
Radnóti utca;4,1;2;háló
Vadmálna utca;5,1;3,6;konyha
Balzsamfű utca;3,4;3,1;dolgozószoba
Homoródi utca;2,5;2,8;háló
Gerle utca;3,9;4,7;nappali
Boszorkányfű utca;2,6;2,2;háló
Felsőpércsi utca;3,8;3,2;konyha
Verseci utca;2,1;3,2;dolgozószoba
Pinty utca;2,1;2,8;gardrób
Tenkes köz;2,7;2,6;fürdőszoba
Vadszőlő utca;3;3,7;háló
Bihari utca;1,6;1,4;erkély
Páfrány utca;3;2,4;háló
Verőszala utca;3,7;2,8;mosókonyha
Nagyhát utca;2,6;2,5;dolgozószoba
Martinovics utca;3,5;4,9;nappali
Vadmálna utca;2,8;3,2;háló
Szeklice köz;3,9;2,1;háló
Népkert sor;3,4;2,5;gardrób
Kacagány utca;3,2;3,9;konyha
Nagy-Eged utca;3,7;3,2;háló
Bölcsőde utca;1,2;1,1;WC
Nagy-Eged utca;6,1;4,1;nappali
Bartók Béla út;2,6;2,9;erkély
Temesvári körút;1,9;1,4;WC
Kertész utca;1,9;2,1;gardrób
Faraktár utca;3,9;3,4;terasz
Vajdahunyad utca;3,7;4,6;nappali
Richter Gedeon utca;2,2;3,3;konyha
Kút utca;3;4,3;háló
Szoboszlói út;3,8;2,7;konyha
Hajnalcsillag utca;4,2;3,1;háló
Mazsola utca;4,2;4;háló
Temesvári körút;4,6;4,9;nappali
Szarvas tér;4,3;2,2;fürdőszoba
Gyevi utca;2,3;3,4;dolgozószoba
Kölcsey Ferenc tér;3,7;3,8;konyha
Leányszállás köz;2;2,3;erkély
Kecsege utca;2,6;2,2;konyha
Janicsár utca;0,9;0,9;kamra
Leányka utca;2;2,5;háló
Szordasi út;1,4;1;WC
Toldás köz;2,4;2,7;dolgozószoba
Erdőstarcsa utca;2,4;2,3;konyha
Arad utca;3,3;4,4;háló
Bornemissza utca;2,5;3,4;háló
Kormosalma utca;2,9;2,5;háló
Só utca;3,5;2,3;háló
Búcsú sor;3,7;3;konyha
Bürök utca;5,4;5,3;nappali
Déva utca;2,1;2,7;erkély
Szikigyakor utca;4,8;4;nappali
Bajza utca;2,1;3,1;konyha
Debreceni út;2,8;2,7;háló
Mészöly Géza utca;4,4;3,8;nappali
Kamilla utca;1,8;1,6;WC
Martinovics utca;3,9;4,2;háló
Kolónia utca;4;3;dolgozószoba
Nagyecsed utca;3,5;4,4;háló
Piroska tér;3,6;3,4;dolgozószoba
Bánk bán utca;4,9;3,7;nappali
Gyimes utca;3,9;2,4;fürdőszoba
Hangyás köz;4,2;3,2;háló
Füzes utca;4,6;5,9;konyha
Jávorka utca;2,2;2,3;erkély
Janicsár utca;3,2;2,8;konyha
Bulcsú utca;2;4;dolgozószoba
Iszalag út;4,3;3,6;nappali
Mester utca;1,3;2;kamra
Gilice köz;2,2;3,4;háló
Harkály utca;1,4;1,3;WC
Ludányi Antal utca;2,2;3,3;terasz
Kubikos utca;2,7;3,3;fürdőszoba
Ráchegy utca;4;3,8;háló
Bulcsú utca;2,2;4;konyha
Vadmálna utca;3,2;3,5;fürdőszoba
Ladik utca;3,5;2,4;háló
Árnyas utca;2,5;3,7;kamra
Bulcsú utca;1,9;2;gardrób
Nagyrét utca;3,9;4,5;háló
Kormorán utca;4,2;2,6;fürdőszoba
Budapesti út;2,2;1,5;erkély
Szikigyakor utca;1,9;2;kamra
Cinke utca;3,3;3,3;háló
Szentháromság utca;2,9;3,1;gardrób
Orgona sor;1,2;1,1;WC
Görgény utca;2,6;3,2;háló
Richter Gedeon utca;2;3,8;dolgozószoba
Vadszőlő utca;4,3;4;háló
Mocsáry Lajos utca;3,1;2,8;dolgozószoba
Nagyecsed utca;3,5;2,8;kamra
Só utca;1,4;1,5;WC
Lovarda utca;4,1;4,2;nappali
Hajós Alfréd utca;3;3,9;fürdőszoba
Kecsege utca;3,7;3,4;konyha
Lovarda utca;3,2;3,7;konyha
István út;3,5;2;háló
Ostoros utca;3,7;3,8;háló
Hatház utca;3,8;3,3;háló
Kékszőlő utca;3,7;3,8;nappali
Bokros utca;3;3,1;dolgozószoba
Éva utca;0,8;0,9;kamra
Balabás utca;2,2;3,2;fürdőszoba
Pacsirta utca;2,2;2,2;háló
Honvéd utca;3;2,8;konyha
Akácfa utca;4,5;2,7;háló
Zárda utca;3,9;4;konyha
Medok utca;4,8;4,7;fürdőszoba
Hullám utca;2,4;3;konyha
Bodomi út;3;2,5;fürdőszoba
Pilinszky János utca;3,9;4,5;háló
Felvégi utca;4,5;2,5;háló
Toldás köz;3,1;2,2;gardrób
Hentes utca;1,1;1,1;WC
Vásártér sor;3;4,5;fürdőszoba
Salétrom utca;3;2,5;konyha
Macskási út;4,2;2,7;háló
Avar köz;2,4;3,4;dolgozószoba
Petur utca;5,1;3,6;nappali
Úszó utca;2,8;3,3;konyha
Bölcsőde utca;2,5;2,3;dolgozószoba
Éger utca;3,7;3,8;háló
Kőporos tér;3,1;2,8;kamra
Guti utca;2,5;3,4;konyha
Ókút utca;3,8;3,6;háló
Pesti utca;2,8;3,6;konyha
Vénusz utca;2,9;2,8;kamra
Richter Gedeon utca;1,8;1,1;kamra
Gyimes utca;2,6;2,3;háló
Dalos utca;1,4;1,9;erkély
Margitvirág utca;2,3;2,3;erkély
Dicsőfi utca;2,5;3;háló
Lant utca;2,3;2,6;fürdőszoba
Pilinszky János utca;2,8;3,5;háló
Bondorhát utca;2,8;2,7;fürdőszoba
Vágóhíd utca;4,2;4,4;háló
Orsolya utca;3,2;2,9;mosókonyha
Torma utca;1,4;1,5;WC
Lévai Béla utca;2,3;2,9;fürdőszoba
Kece utca;4,7;3,9;háló
Verőszala utca;2,2;2,1;dolgozószoba
Kertész utca;1,3;1,3;WC
Mimóza utca;3,9;2,5;háló
Acél utca;2,1;2,6;kamra
Pisztácia utca;1,6;1,2;WC
Hungária utca;2,8;4,5;háló
Kisbánya utca;4,4;4,2;háló
Veresgyűrű utca;3,5;3,5;háló
Bognár utca;2,6;4,2;háló
Herke utca;3,6;3,6;konyha
Faraktár utca;2,1;4,9;fürdőszoba
Lakatgyár utca;2,7;2,9;háló
Katicavirág utca;3,2;3,1;mosókonyha
Paphegy utca;3,9;3,8;háló
Bornemissza utca;3,6;4,9;háló
Dózsa köz;1,2;1,1;WC
Rózsamajor köz;2,8;2,3;háló
Kormosalma utca;3,4;1,8;kamra
József Attila sugárút;1,9;1,9;WC
Gomba utca;3,9;4,6;háló
Küküllő utca;2,9;5,6;konyha
Kinizsi Pál utca;2,9;3,1;háló
Csemete utca;3,9;4;nappali
Őszapó utca;2,2;3,7;háló
Közép fasor;2,4;2,1;erkély
Szoboszlói út;1,9;1,7;WC
Hegedű utca;2,2;2,3;háló
Bondorhát utca;1,5;1,4;WC
Szentiváni dűlő;2,4;3,3;fürdőszoba
Csíkhal utca;4,1;4,1;háló
Ispotály utca;1,2;1,3;WC
Unokakert utca;1,8;1,4;WC
Szövetkezeti út;2,6;2,5;erkély
Malvin utca;3,7;2,9;fürdőszoba
Rétikanyar utca;2,7;2,8;fürdőszoba
Benczúr Gyula utca;2;1,7;WC
Rézvirág utca;3,7;3,6;terasz
Remenyik Zsigmond utca;0,8;0,8;kamra
Honfoglalás utca;2,7;2,3;fürdőszoba
Lant utca;3,9;3,6;konyha
Pincés utca;3,7;2,7;fürdőszoba
Vöcsök utca;3,1;3,1;fürdőszoba
Szikigyakor utca;2,1;2,2;erkély
Déri tér;4,2;5,5;nappali
Föld utca;2,7;4;gardrób
Palotás utca;5,6;4,6;nappali
Szepesi utca;2,4;2,4;gardrób
Cifrakapu utca;4,5;4;fürdőszoba
Fűtőház köz;2,4;3;konyha
Görgény utca;4,4;3,7;nappali
Barna utca;3,3;2,8;terasz
Szalmafonó utca;3,1;3,8;fürdőszoba
Panda tér;2,5;2,9;fürdőszoba
Tigér utca;5;3,2;háló
Szepesi utca;3,7;3,9;nappali
Csemete utca;2,4;2,2;fürdőszoba
Palicsi utca;4,3;2,7;háló
Külüs köz;2,2;1,8;erkély
Szatymazi utca;2,2;3,8;háló
Kisfenyves utca;2,9;2,1;kamra
Zárda utca;4,5;2,7;fürdőszoba
Gyergyó utca;4,2;3,3;háló
Dévai utca;2,5;2,7;fürdőszoba
Kinizsi utca;3,4;3,8;konyha
Acél utca;3,2;2,7;háló
Nyugati sor;2,8;3,8;kamra
Bihari utca;3,9;3,9;háló
Kórház utca;2,2;3,6;fürdőszoba
Kacagány utca;4,3;4,5;nappali
Odú utca;4,5;3,5;nappali
Veresgyűrű utca;0,9;1;kamra
Kubikos utca;2,3;2,9;háló
Tegzes utca;3,7;2,9;háló
Alkony utca;4;3,6;háló
Vadkacsa köz;0,8;0,9;kamra
Mezőhegyi út;2,9;2,9;háló
Kormosalma utca;5,6;6;nappali
Csörsz utca;2,4;2,5;fürdőszoba
Ezerjó utca;3,5;3,8;háló
Fogarasi utca;1,4;1,2;WC
Orsolya utca;1,1;1,7;WC
8. utca;2,8;2,9;fürdőszoba
Bacsó Béla utca;3,7;5,1;nappali
Leánder utca;2,8;2,6;dolgozószoba
Mályva utca;6,9;5,1;nappali
Síntelep utca;2,3;2,3;háló
Vízimolnár utca;1,7;2;gardrób
Kard utca;3;3,5;konyha
Remenyik Zsigmond utca;3,9;3,7;konyha
Fogarasi utca;2,5;2,5;háló
Hangyás köz;3;2,2;fürdőszoba
Fekete István utca;2,4;3,7;konyha
Cifrakapu utca;5,3;6,1;nappali
Káka utca;3,1;3,2;fürdőszoba
Herke utca;1,7;2;erkély
Nagy Jenő utca;3,3;3,6;fürdőszoba
Körtvélyes utca;2,1;1,6;erkély
Csemete utca;2,2;3,5;háló
Tigér utca;3,7;2,1;dolgozószoba
Boroszlán utca;3,2;2,3;háló
Bondorhát utca;2,6;2,8;háló
Hullám utca;1,6;2;erkély
Ormós Lajos utca;0,9;0,9;kamra
Marostorok utca;3,5;4,5;nappali
Libatop utca;3,1;3,1;konyha
Hullám utca;1,7;1,2;erkély
Haláp utca;2,5;2,6;dolgozószoba
Szarvas tér;3,6;4;terasz
Szercsika utca;4,9;4,5;nappali
Pék utca;3,4;2,2;dolgozószoba
Tengelic dűlő;3,2;3,7;háló
Cséplő utca;3,1;2;háló
Bánk bán utca;2,4;2,4;háló
Mester utca;2,7;4,1;háló
Bornemissza utca;3,2;4,6;háló
Kondorosiér út;1,2;1,2;WC
Pinty utca;2,4;2,8;dolgozószoba
Rétikanyar utca;3,9;3,9;háló
Mazsola utca;4,9;4,2;nappali
Külüs köz;1,1;1,5;WC
Szentiváni dűlő;4,9;3,8;háló
Malvin utca;2,5;2,7;háló
Libatop utca;1,5;1,2;WC
Knézich Károly utca;2,8;3,6;dolgozószoba
Pemetefű utca;4,2;5,5;nappali
Kölcsey Ferenc tér;2;1,5;gardrób
Harangos utca;3,7;3,2;fürdőszoba
Salétrom utca;1,5;1,8;erkély
Medok utca;3;2,8;fürdőszoba
Hangyás köz;2,4;3,8;terasz
Dorottya utca;2,4;2,3;fürdőszoba
Fekete István utca;3,9;3,7;nappali
Kincseshegy utca;2,1;1,8;erkély
Basahalom utca;1,1;1,2;erkély
Nagyfekete út;3,9;3;gardrób
Hangyás köz;3,7;2;kamra
Vadszőlő utca;2,8;2,3;fürdőszoba
Szeremlei utca;3,6;2,2;háló
Nagyecsed utca;2,1;2,4;mosókonyha
Ludányi Antal utca;4,9;4,1;háló
Csemete utca;2,6;2;háló
Nagydobos utca;3;2,8;fürdőszoba
Orgona sor;3;3,2;háló
Trafó köz;2,5;2,3;konyha
Függetlenség utca;3,9;3,2;háló
Kartács utca;4,3;4,6;konyha
Jégmadár utca;4,6;2,7;háló
Perczel Mór utca;4,5;4,3;nappali
Harangos utca;2,2;3,3;háló
Kölcsey Ferenc utca;2;1,7;WC
Éger utca;4,3;2,6;háló
Bánk bán utca;4;3,2;háló
Öreghegy utca;4,4;4,7;nappali
Munkácsy Mihály utca;2,5;4;konyha
Kékszőlő utca;4,3;2,2;háló
Bartók Béla út;2,6;3,3;dolgozószoba
Fekete István utca;2,6;2,5;dolgozószoba
Gyík utca;1,9;1;WC
Kece utca;2,7;3,6;háló
Fokos utca;4,5;3,8;háló
Keszi utca;2,9;2,7;háló
Cserfa utca;2,9;4,8;fürdőszoba
Szömörce utca;1,4;2,3;erkély
Bányász utca;3,7;3,5;nappali
Pasztinák köz;2,1;4,2;háló
Déva utca;3,4;4,4;háló
Székhalom köz;2,7;3,2;dolgozószoba
Balaton utca;1,4;1,5;kamra
Nagyrét utca;2;3,3;fürdőszoba
Kőporos tér;4,5;3,8;háló
Nyárfasor utca;3,8;2;dolgozószoba
Debreceni út;0,9;1;kamra
Öthalom utca;3,6;5,3;nappali
Ókút utca;1,2;1,4;WC
Berlini körút;3,9;4,5;háló
Palicsi utca;5,8;4,7;nappali
Pöstyéni utca;4,1;4,5;nappali
Gyékényesi út;2,4;4;mosókonyha
Kanális utca;4,1;4,2;nappali
Fő tér;3,5;3,4;háló
Knézich Károly utca;4,1;3,9;konyha
Nagyecsed utca;4,9;5;nappali
Öreghegyi utca;3;4;konyha
Havasigyopár utca;2;1,7;gardrób
Lant utca;4,6;4,2;nappali
Lóverseny utca;2,7;3,1;mosókonyha
Ráchegy utca;2;1,1;kamra
Nyilassy utca;4,4;2,8;háló
Debreceni út;2,8;2,1;fürdőszoba
Hegyközség utca;2,2;3,9;háló
Pápai utca;4,9;3,6;nappali
Keszeg utca;3;3,5;fürdőszoba
Páfrány utca;1,8;2;erkély
Szeremlei utca;2,8;4;háló
Trafó köz;2,4;2,2;erkély
Szélpart utca;4,1;6,5;nappali
Vértanú utca;3,2;3,6;gardrób
Szeremlei utca;3,3;3,8;konyha
Palotás utca;3,8;4,2;konyha
Pacsirta utca;2,5;3,5;háló
József Attila utca;3,6;4,1;konyha
Nagybecskereki utca;2,4;2,9;kamra
Cserfa utca;2,8;3,1;dolgozószoba
Nagykőporos út;2,5;4,3;háló
Mályva utca;2,5;6;konyha
Tócópart utca;4;4,9;fürdőszoba
Fekete István utca;4;3,9;háló
Közép fasor;2,9;2,2;fürdőszoba
Csereág utca;2,4;2,6;konyha
Csapó utca;1,5;1,4;WC
Cséplő utca;2;2,5;erkély
Pécsi út;2,7;3,4;konyha
Ezerjó utca;2,4;2,4;háló
Palánták dűlő;4;2,1;konyha
Szotyori utca;1,4;1,5;erkély
Rézvirág utca;4,5;6;nappali
Basahíd utca;4,6;3,9;nappali
Ezerjó utca;3,3;2,5;dolgozószoba
Nagy Lajos utca;2,5;3,9;konyha
Gilice köz;2,3;2,7;fürdőszoba
Péczely utca;3,7;2,6;háló
Tőzsér utca;2,9;2,3;fürdőszoba
Kamilla utca;1,7;1,5;WC
Honvéd utca;2,6;2,3;dolgozószoba
Zsombolyai utca;2,4;3,4;háló
Erdőstarcsa utca;3,4;3,1;dolgozószoba
Bánk bán utca;2,3;3,2;háló
Késmárk utca;3,3;3,4;háló
Ceglédi utca;2,1;2,7;dolgozószoba
Basahíd utca;2,2;2,8;háló
Józsakert utca;3,4;3,7;konyha
Veres utca;1,9;1,2;kamra
Pihenő utca;2,3;1,8;erkély
Átrium köz;3,2;2,8;kamra
Nyárfasor utca;2,5;4;háló
Karinthy Frigyes utca;5,3;5,4;konyha
Jáger utca;4,2;4;nappali
Gyimesi utca;6,5;4,7;nappali
Paphegy utca;4;5,3;konyha
Medok utca;3,3;2,7;háló
Tüzér utca;2,3;3,8;háló
Nagy Lajos utca;3,9;2,8;háló
Fokos utca;2,5;2,2;háló
Szikra utca;1,5;1,9;kamra
Görgény utca;2;3;konyha
Védőnő utca;3,5;3,6;háló
Vándor köz;1,2;1,3;WC
Sajó utca;3,6;3,1;fürdőszoba
Palotás utca;3;2,9;háló
Hatvan utca;2,8;3,4;terasz
Csutorás utca;3,3;3,7;háló
Erdőstarcsa utca;4,2;4,9;nappali
Tímár utca;5,9;5,8;nappali
Síp utca;2,9;4,9;konyha
Pinty utca;3,6;2,8;háló
Vadőr utca;4,6;2,2;konyha
Rozmaring utca;4,9;3,9;háló
Kövirózsa utca;2,6;2,4;mosókonyha
Bartók Béla út;2,8;2,1;fürdőszoba
Veresgyűrű utca;2,3;2,6;fürdőszoba
Nagy-Eged utca;1,8;1,2;WC
Berlini körút;2,4;3,5;mosókonyha
Palotás utca;3,4;2,7;kamra
Szarvas tér;2,8;3,1;mosókonyha
Orgona sor;3,2;3,6;konyha
Dinnyés utca;3,6;3,2;kamra
Mata János utca;4,6;6,8;nappali
Vadrózsa sor;2,7;3,3;mosókonyha
Tóparti út;2;2,3;gardrób
Pemetefű utca;4,3;2,2;háló
Fekete István utca;2,1;2,5;dolgozószoba
Kertész utca;4,3;2,2;háló
Pacsirta köz;4,7;4,5;háló
Felsőpércsi utca;1,6;2;erkély
Orsolya utca;6,3;4,8;nappali
Jégmadár utca;4,7;6,9;nappali
Kontyvirág utca;2,1;3,1;háló
Pisztácia utca;4,3;4,7;háló
Pemetefű utca;1,9;1,8;kamra
Határőr utca;4,3;5;nappali
Tükrösszív utca;5,2;4,2;konyha
Tóparti út;2,9;3,9;fürdőszoba
Gyimes utca;1,4;1,5;kamra
Hárs utca;2,1;2,5;kamra
Mátyás király utca;3,1;3,6;háló
Ipartelepi köz;2,1;3;fürdőszoba
Fonógyári út;2,9;3,1;dolgozószoba
Barcaság utca;5;5,1;nappali
Gyékényesi út;2,7;4,7;háló
Palánták dűlő;3,7;3,1;háló
Iszalag út;2,4;2,2;fürdőszoba
Nagydobos utca;3,9;3,7;dolgozószoba
Zsolnai utca;0,9;1;kamra
Barcaság utca;3;4;háló
Körtöltés utca;2,1;2,4;fürdőszoba
Orgona sor;1,3;1,5;erkély
Tündér utca;1,1;1,5;WC
Éva utca;2,9;3,2;konyha
Küküllő utca;4,6;3,4;háló
Cser utca;2,6;3,2;dolgozószoba
Vágóhíd utca;5,8;5,8;nappali
Bartók Béla út;2,4;3;háló
Fürtös köz;1,4;1;WC
Szamóca utca;2,6;2,9;fürdőszoba
Kormorán utca;5,4;5,2;nappali
Pósa utca;3,2;2,9;kamra
Hátszegi utca;4,1;4,6;nappali
Újhelyi köz;4,8;6,2;nappali
Hortenzia utca;3,4;2,2;konyha
Háló utca;3,7;2,3;háló
Jázmin utca;3,5;5;háló
Fekete István utca;2,3;3,9;háló
Ezerjó utca;2,3;2,8;fürdőszoba
Vadszőlő utca;3,9;4,6;nappali
Cser utca;4,8;5,4;nappali
Hangyás köz;3,3;2,8;fürdőszoba
Erdőstarcsa utca;2,8;4;háló
Csapó utca;2,4;3;fürdőszoba
Hegyköz utca;1;1;WC
Muskátli utca;2,5;2;kamra
Köteles utca;3,2;2,7;fürdőszoba
Zsindely utca;2,7;3,2;háló
Temesvári körút;3,7;3;gardrób
Parittya utca;3,8;3,3;háló
Fürtös köz;2,5;2,5;dolgozószoba
Damjanich utca;2,6;2,8;konyha
Gyimes utca;5,5;4,3;nappali
Közép fasor;3,1;2,1;dolgozószoba
Dolgos utca;2,1;1,6;erkély
Bükkmogyoró utca;2;2,1;konyha
Géza utca;2,6;2,3;terasz
Arató utca;2,3;2,4;fürdőszoba
Kamilla utca;2,8;2,5;erkély
Rézvirág utca;2,9;4;mosókonyha
Lóding utca;3,1;2,5;dolgozószoba
Görgény utca;1,4;2,2;erkély
Pisztácia utca;2,5;2,2;erkély
Nagy-Eged utca;3,5;3,5;háló
Vadkacsa köz;1,2;1,9;erkély
Törő utca;3,2;2,1;konyha
Berlini körút;4,7;2,7;konyha
Parittya utca;5,3;6,7;nappali
Szigony utca;3,5;2,3;fürdőszoba
Part út;2;3,1;dolgozószoba
Sípos köz;2,3;3,2;háló
Faraktár utca;3,6;3,7;háló
Pesti utca;6;4,8;nappali
Kontyvirág utca;3,2;4;háló
Körtöltés utca;3,9;2,3;háló
Vág utca;2,5;2,7;erkély
Eszperantó tér;3;3;fürdőszoba
Vécsey utca;6,7;6,6;nappali
Nagybecskereki utca;4,5;4,3;háló
Borbála utca;2,3;2;gardrób
Káka utca;2,5;3,8;háló
Ludányi Antal utca;3,3;2,9;mosókonyha
Kertész utca;3,8;5,5;nappali
Vadkerti tér;4,2;4,2;háló
Csereág utca;2,3;2,4;fürdőszoba
Szék utca;3,3;2,5;háló
Madár utca;1,4;1,4;WC
Guti utca;2,7;2,9;fürdőszoba
Lámpás utca;2,7;2,6;konyha
Benczúr Gyula utca;2,9;2,8;háló
Kece utca;2,3;3,5;gardrób
Vécsey utca;2,5;3,9;kamra
Lilla köz;2,1;3,3;fürdőszoba
Páfrány utca;3,3;2,1;konyha
Köteles utca;3,8;2,3;terasz
Csapó utca;2,2;4,1;háló
Görgey utca;2,9;4,1;háló
Pinty utca;3,5;2,6;háló
Ispotály utca;3,3;2,5;terasz
Odú utca;2,4;3;fürdőszoba
Harcsa utca;5;4,9;nappali
Jázmin utca;4,4;2,2;konyha
Perczel Mór utca;2,8;3,2;konyha
Szilágyság utca;3,1;2,4;dolgozószoba
Szérűskerti sor;2,8;4,9;háló
Bodomi út;3,2;2;háló
Bulcsú utca;3,7;4,4;háló
Nagybotos utca;1,5;2,1;gardrób
Éva utca;3,1;2,2;háló
Odú utca;0,9;0,9;kamra
Péczely utca;3,8;3,8;háló
Lant utca;5;4,7;nappali
Fenyő utca;3,6;3,8;terasz
Szikigyakor utca;1,3;1,9;kamra
Károli Gáspár utca;2,9;4,2;háló
Töviskes utca;2,5;2,3;fürdőszoba
Átrium köz;3,3;3,8;terasz
Várad utca;3,2;3,4;dolgozószoba
Nagyfekete út;3,2;2,4;terasz
Pasztinák köz;1,8;1,9;kamra
Akácfa utca;2,4;2,2;erkély
Mandula utca;2,6;2,8;fürdőszoba
Nyárád utca;4,5;4;konyha
